49,"Which committee promotes the use of official languages in SAIL?","Committee on Official Languages","Committee on Public Undertakings","Finance Committee","Audit Committee","A","This committee reviews implementation of official language policy."
50,"Which authority audits SAIL periodically?","Comptroller and Auditor General (CAG)","Reserve Bank of India","Election Commission","NITI Aayog","A","CAG conducts periodic audits of SAIL."
51,"The Director of Explosives regulates activities mainly related to?","Coke Ovens","Marketing","Finance","Personnel","A","The Director of Explosives regulates transfer and use of coke oven products."
52,"The Chief Boiler Inspector is associated with?","Mechanical Maintenance","Traffic","Marketing","Personnel","A","Chief Boiler Inspector is listed under Mechanical Maintenance."
53,"Factory Inspector is associated with?","Mechanical Maintenance","Sales","Marketing","Finance","A","Factory Inspector regulates factory-related compliance."
54,"Inspector of Weights and Measures comes under?","Mechanical Maintenance","Traffic","Finance","Personnel","A","Weights and Measures Inspector is included in Mechanical Maintenance authorities."
55,"Chief Electrical Inspector is associated with?","Electrical Maintenance","Safety Engineering","Finance","Marketing","A","Electrical Maintenance interfaces with the Chief Electrical Inspector."
56,"Which organization is listed under Electrical Maintenance?","State Electricity Board","Coal India Limited","BHEL","DGTD","A","The State Electricity Board is responsible for electrical coordination."
57,"Divisional Superintendent belongs to which department?","Railways","Power","Finance","Marketing","A","The Divisional Superintendent represents Railways."
58,"General Manager, SE Railway, Kolkata is associated with?","Traffic","Marketing","Finance","Personnel","A","The chapter lists this authority under Traffic."
59,"National Safety Council is related to?","Safety Engineering","Marketing","Finance","Recruitment","A","The National Safety Council is an external safety authority."
60,"Which department regulates industrial safety?","DIHS","RBI","DGTD","CCI&E","A","DIHS is listed under Safety Engineering."
61,"Pollution-related matters are monitored by?","Central and State Pollution Control Departments","Universities","Municipalities only","Employment Exchanges","A","Pollution control authorities regulate environmental compliance."
62,"Registrar of Trade Union is associated with?","Personnel","Marketing","Finance","Traffic","A","Registrar of Trade Union is listed under Personnel."
63,"Assistant Labour Commissioner deals mainly with?","Personnel matters","Transportation","Marketing","Finance","A","Personnel matters involve the Assistant Labour Commissioner."
64,"SAIL has increased emphasis on direct interaction with?","Major customers","Competitors","Foreign governments","Media organizations","A","Customer interaction has become a major priority."
65,"Customers are invited to visit?","SAIL plants","Banks","Coal mines","Ports","A","Customer visits strengthen relationships."
66,"Customer interaction takes place from?","Highest level to branch level","Only headquarters","Only branch offices","Only plant level","A","Interaction occurs at all organizational levels."
67,"Customer interaction mainly helps in?","Quality improvement","Reducing salaries","Increasing imports","Reducing production","A","Quality improvement is one of the major benefits."
68,"Product development is promoted through?","Customer interaction","Government audits","Foreign loans","Tax collection","A","Customer feedback supports product development."
69,"Timely deliveries improve because of?","Better customer interaction","Reduced production","Import restrictions","Advertising","A","Close customer relationships improve delivery performance."
70,"Product-mix rationalization is achieved through?","Customer interaction","Tax reforms","Foreign collaboration","Plant closure","A","Customer feedback helps optimize product mix."
71,"SAIL has contributed significantly to developing India's?","Industrial and infrastructural base","Entertainment industry","Agricultural exports","Tourism sector","A","SAIL has played a major role in industrial development."
72,"SAIL supplies steel even to?","Remote and strategic areas","Only metropolitan cities","Only export markets","Only industrial towns","A","Steel reaches remote, backward and strategic areas."
73,"Besides industrial growth, SAIL also contributes through?","Employment generation","Tourism promotion","Telecommunication","Civil aviation","A","Employment generation is an important contribution."
74,"SAIL aims to be regarded as a?","Model employer","Private employer","Foreign employer","Temporary employer","A","The company provides employee amenities expected from a model employer."
75,"According to the chapter, judging SAIL only by profit ignores its?","Social and national contributions","Steel production","Export earnings","Advertising","A","The chapter emphasizes SAIL's wider developmental role."
76,"Participative management has been adopted mainly to?","Achieve organizational objectives","Reduce production","Increase taxation","Reduce customer interaction","A","Participative management helps achieve company goals."
77,"Executives in SAIL are represented through?","An association","Trade unions","Political organizations","NGOs","A","Executives have an association."
78,"Non-executive employees are represented by?","Trade unions","Political parties","Banks","Consultants","A","Non-executives are represented through unions."
79,"At the all-India level, there is how many negotiating body for non-executives?","One","Two","Five","Ten","A","The chapter specifies one negotiating body."
80,"Unit-level unions directly negotiate with SAIL Corporate Management?","No","Yes","Only sometimes","Only during strikes","A","The chapter clearly states that unit unions do not directly negotiate with Corporate Management."
81,"After a national-level agreement with the non-executives' union, what happens at the unit level?","Recognized unions negotiate its adoption","The agreement is cancelled","Fresh national negotiations begin","Only executives implement it","A","The recognized union at each unit negotiates the adoption of the national agreement."
82,"How are major agreements for executives implemented in SAIL?","Implemented directly in all units","Negotiated separately at each unit","Approved by Parliament","Implemented only at corporate office","A","Major executive agreements are implemented directly across all SAIL units."
83,"Which three elements are collectively termed infrastructure for the steel industry?","Coal, power and rail movement","Roads, ports and airports","Coal, water and gas","Telecom, roads and banking","A","Coal, power and rail movement are identified as critical infrastructure."
84,"Infrastructure support is essential for?","Uninterrupted production","Increasing taxes","Reducing exports","Conducting audits","A","Continuous infrastructure support ensures uninterrupted production."
85,"Availability of critical infrastructure resources has been?","Lagging behind demand","Exceeding demand","Constant for years","Irrelevant to production","A","The chapter states that infrastructure availability has not kept pace with demand."
86,"Which committee monitors the availability of scarce industrial inputs?","Cabinet Committee on Industrial Infrastructure","Planning Commission","Finance Commission","Steel Development Board","A","The Cabinet Committee monitors scarce infrastructure inputs."
87,"Approximately how much coking coal is required to produce one tonne of saleable steel?","1 tonne","2 tonnes","3 tonnes","5 tonnes","A","Around one tonne of coking coal is required."
88,"Approximately how many units of electricity are required for one tonne of saleable steel?","500 units","250 units","750 units","1000 units","A","The chapter specifies approximately 500 units."
89,"Approximately how much rail traffic is associated with one tonne of saleable steel?","5 tonnes","2 tonnes","8 tonnes","10 tonnes","A","About five tonnes of inward and outward rail traffic are required."
90,"Steel plants are among the largest bulk consumers of?","Infrastructure facilities","Telecommunication services","Tourism facilities","Educational services","A","Steel plants consume large quantities of infrastructure resources."
91,"Practically the entire domestic production of coking coal is consumed by?","Steel plants","Thermal power plants","Railways","Cement plants","A","Most coking coal is consumed by steel plants."
92,"Nearly one-third of the power generated by DVC is consumed by?","SAIL steel plants in the Eastern Region","Indian Railways","Coal India Limited","BHEL","A","The chapter provides this important statistic."
93,"Approximately what percentage of total railway traffic in India is on account of SAIL steel plants?","15%","5%","25%","35%","A","SAIL accounts for nearly 15% of railway traffic."
94,"Indian Railways is regarded as?","A very important stakeholder","A competitor","A regulator only","A financial institution","A","The chapter specifically identifies Indian Railways as a key stakeholder."
95,"Steel plants require good metallurgical coal primarily for producing?","Hard coke","Electricity","Pig iron","Limestone","A","Hard coke is produced from metallurgical coal."
96,"Hard coke is required in blast furnaces as?","Fuel and reductant","Lubricant","Coolant","Catalyst","A","Hard coke performs both functions."
97,"Worldwide, blast furnaces generally use coke produced from coking coal having ash content below?","10%","15%","20%","25%","A","Less than 10% ash is considered desirable."
98,"The ash content of much of India's coking coal is approximately?","25%","10%","15%","5%","A","Indian coking coal generally has high ash content."
99,"Indian coking coal is washed to reduce ash content to about?","17%","10%","12%","20%","A","Coal washing reduces ash to around 17%."
100,"The major coking coal reserves in India are mainly located in?","Jharkhand and Bengal coalfields","Odisha and Gujarat","Punjab and Haryana","Kerala and Tamil Nadu","A","The chapter identifies Jharkhand and Bengal coalfields."
101,"The availability of quality coking coal is?","Not keeping pace with steel industry demand","Higher than demand","Unlimited","Irrelevant to steel production","A","Demand is increasing faster than availability."
102,"Who is the major supplier of coking coal to SAIL?","Coal India Limited","Indian Railways","BHEL","NTPC","A","Coal India Limited is the principal supplier."
103,"Steel plants require a large amount of?","Power","Natural gas","Diesel","Solar energy only","A","Power is one of the most important inputs."
104,"SAIL steel plants are heavily dependent on public utilities such as?","DVC","LIC","BSNL","SAIL Foundation","A","The Damodar Valley Corporation supplies significant power."
105,"Why can't SAIL become completely independent of external power utilities?","Rolling operations create sudden load surges","Coal is unavailable","Power is inexpensive","Government policy prohibits it","A","Large grid systems absorb sudden load variations."
106,"Which of the following best explains the importance of external agencies to SAIL?","They support production, marketing, finance and regulation","They manufacture steel","They own SAIL","They control exports only","A","External agencies contribute across nearly all operational functions."
107,"Customer interaction is expected to strengthen?","Long-term mutually beneficial relationships","Competition among plants","Import dependence","Foreign ownership","A","The chapter emphasizes lasting relationships with customers."
108,"Direct customer interaction is expected to improve?","Product quality","Employee transfers","Government audits","Tax collection","A","Quality improvement is one of the key objectives."
109,"Product development becomes easier through?","Continuous customer feedback","Frequent audits","Foreign investment","Price control","A","Customer interaction helps identify product improvements."
110,"Which of the following is an expected outcome of better customer relations?","Timely deliveries","Higher import duties","Reduced production","Closure of stockyards","A","Improved customer interaction enhances delivery performance."
111,"SAIL contributes to the nation by strengthening?","Industrial infrastructure","Entertainment industry","Tourism","Sports sector","A","SAIL has significantly strengthened India's industrial base."
112,"SAIL supplies steel to which type of areas besides industrial centers?","Remote, backward and strategic areas","Only metropolitan cities","Only export zones","Only mining areas","A","The chapter specifically mentions these regions."
113,"Which statement best reflects SAIL's role as a model employer?","Providing workforce amenities","Reducing employee benefits","Privatizing workforce","Outsourcing all jobs","A","Employee welfare is emphasized."
114,"Which management philosophy has proved successful in SAIL?","Participative management","Autocratic management","Military management","Centralized dictatorship","A","Participative management helps achieve organizational objectives."
115,"Separate unions at unit level primarily represent?","Non-executive employees","Government officials","Customers","Suppliers","A","Each unit has its own recognized union."
116,"Separate associations at unit level mainly represent?","Executives","Customers","Transporters","Auditors","A","Executive associations function at the unit level."
117,"Which infrastructure input is considered the backbone of steel transportation?","Railways","Airways","Pipelines","Waterways","A","Railways are critical for movement of raw materials and finished steel."
118,"Which of the following statistics is correctly matched?","1 tonne steel → 500 units electricity","1 tonne steel → 50 units electricity","1 tonne steel → 5000 units electricity","1 tonne steel → 100 units electricity","A","The chapter specifies approximately 500 units of electricity."
119,"Which of the following statistics is correctly matched?","1 tonne steel → 5 tonnes rail traffic","1 tonne steel → 1 tonne rail traffic","1 tonne steel → 10 tonnes rail traffic","1 tonne steel → 2 tonnes rail traffic","A","About five tonnes of rail traffic are associated with one tonne of saleable steel."
120,"Which statement best summarizes Chapter 8?","SAIL's success depends on effective coordination with numerous external agencies and stakeholders.","SAIL operates independently without external support.","Marketing is the only important activity of SAIL.","Government agencies have no role in SAIL.","A","The chapter emphasizes the importance of coordinated relationships with government, customers, suppliers, infrastructure providers and regulatory bodies."
121,"Which of the following is NOT identified as a major stakeholder of SAIL in Chapter 8?","Insurance Companies","Customers","Indian Railways","Coal India Limited","A","Insurance companies are not listed among the major stakeholders discussed in the chapter."
122,"Which stakeholder is considered indispensable for transporting both raw materials and finished steel?","Indian Railways","Road Transport Agencies","Shipping Lines","Air Cargo","A","The chapter repeatedly emphasizes the critical role of Indian Railways."
123,"The interaction between SAIL and customer groups primarily aims to establish?","A lasting and mutually beneficial relationship","Government control","Foreign collaboration","Exclusive dealership","A","Customer interaction is intended to build long-term mutually beneficial relationships."
124,"Which of the following is expected from increased customer interaction?","Quality improvement","Reduction in steel demand","Closure of stockyards","Decrease in production capacity","A","Customer interaction helps improve quality, delivery, and product development."
125,"Which of the following is expected from increased customer interaction?","Product development","Reduction in imports","Closure of plants","Lower employee strength","A","The chapter explicitly mentions product development."
126,"Which of the following is expected from increased customer interaction?","Timely deliveries","Reduction in electricity usage","Reduction in railway traffic","Closure of branches","A","Better interaction improves timely deliveries."
127,"Which of the following is expected from increased customer interaction?","Product-mix rationalization","Decrease in exports","Increase in taxation","Reduction in production","A","Product-mix rationalization is one of the stated benefits."
128,"Which factor makes infrastructure support vital for SAIL?","Continuous steel production depends on uninterrupted supply of coal, power and transportation.","Steel plants do not require raw materials.","Marketing is independent of infrastructure.","Only exports require infrastructure.","A","Coal, power and rail movement are essential for uninterrupted production."
129,"Which organization is the major supplier of coking coal to SAIL?","Coal India Limited","Indian Railways","BHEL","MECON","A","Coal India Limited is identified as the major supplier."
130,"Why is imported coking coal still required by SAIL?","Domestic availability is insufficient to meet growing demand.","Imported coal is always cheaper.","Indian coal is completely unavailable.","Government mandates imports.","A","Domestic supply is inadequate due to increasing demand."
131,"Which statement about Indian coking coal is correct?","It generally has high ash content.","It contains less than 5% ash.","It is ready for blast furnace use without washing.","It is imported entirely.","A","Indian coking coal has about 25% ash and requires washing."
132,"Indian coking coal is washed mainly to?","Reduce ash content to about 17%","Increase moisture content","Increase calorific value by adding chemicals","Reduce transportation cost","A","Coal washing lowers ash content before use."
133,"The world's blast furnaces generally prefer coke produced from coal containing ash below?","10%","15%","20%","25%","A","Less than 10% ash is considered desirable worldwide."
134,"Rolling operations in steel plants require connection to a large power grid because they?","Create sudden surges in electrical load","Consume very little electricity","Use only renewable energy","Operate only during night hours","A","Large grids absorb sudden load fluctuations."
135,"Which external utility is specifically mentioned as supplying power to SAIL?","Damodar Valley Corporation (DVC)","NTPC only","NHPC only","Power Grid Corporation","A","DVC is specifically mentioned in the chapter."
136,"Nearly one-third of DVC's generated power is consumed by?","SAIL steel plants in the Eastern Region","Coal India Limited","Indian Railways","Thermal power plants","A","The chapter provides this important statistic."
137,"About what percentage of India's railway traffic is generated by SAIL steel plants?","15%","5%","25%","40%","A","Approximately 15% of railway traffic is attributed to SAIL."
138,"Which infrastructure input is described as a critical basic input specifically for the steel sector?","Coal","Road transport","Banking","Insurance","A","Coal is a fundamental raw material for steel production."
139,"Assertion (A): SAIL's dependence on external agencies is expected to continue. Reason (R): Production and marketing require support from many external organizations.","Both A and R are true, and R is the correct explanation.","Both A and R are true, but R is not the correct explanation.","A is true, R is false.","A is false, R is true.","A","The chapter clearly explains that dependence continues because multiple agencies support operations."
140,"Assertion (A): Customer interaction is encouraged at every organizational level. Reason (R): It helps improve quality and product development.","Both A and R are true, and R is the correct explanation.","Both A and R are true, but R is not the correct explanation.","A is true, R is false.","A is false, R is true.","A","The reason directly explains why interaction is encouraged."
141,"Assertion (A): Infrastructure availability is fully adequate for the steel industry. Reason (R): Demand for infrastructure has increased rapidly.","A is false, R is true.","Both A and R are true.","Both A and R are false.","A is true, R is false.","A","Infrastructure availability is lagging behind demand."
142,"Which chapter topic primarily deals with Parliament, CAG and regulatory authorities?","Interface with Government and Ministry","Marketing of Products","Investment in Capacity Creation","Organising Production","A","These organizations are covered under the Government interface section."
143,"Which stakeholder contributes mainly to financial transactions through cash and credit facilities?","State Bank of India","Indian Railways","Coal India Limited","National Safety Council","A","SBI provides banking and credit facilities."
144,"Which external agency is directly connected with campus recruitment?","Universities and Professional Institutions","Municipalities","DGTD","DVC","A","Campus recruitment is conducted through educational institutions."
145,"Which external agency mainly supports imported raw material logistics?","Shipping Lines","Employment Exchanges","National Safety Council","Municipalities","A","Imported inputs are transported through shipping lines."
146,"Which of the following best reflects the central theme of Chapter 8?","Effective coordination with external agencies is essential for SAIL's success.","Profit maximization is SAIL's only objective.","Steel production depends only on internal resources.","Government has no influence on SAIL.","A","The chapter focuses on relationships with external stakeholders."
147,"Which area of interaction includes banks, consultancy organizations and foreign equipment suppliers?","Investment in Capacity Creation","Marketing of Products","Safety Engineering","Personnel","A","These organizations support new capacity creation."
148,"Which section highlights customer groups, regulating agencies and finance?","Marketing of Products","Organising Production","Personnel","Infrastructure","A","These topics are discussed under Marketing of Products."
149,"Which section discusses coal, power and rail movement as critical resources?","Important Stakeholders - Infrastructure","Marketing of Products","Capacity Creation","Personnel","A","Infrastructure is discussed under Important Stakeholders."
150,"According to the overall chapter, SAIL's operational efficiency depends primarily upon?","Strong coordination with government, customers, suppliers, infrastructure providers and regulatory agencies.","Complete independence from external organizations.","Only modern technology.","Only internal management.","A","The entire chapter emphasizes that SAIL's success depends on effective relationships with numerous external stakeholders."
